##data with set

set All := 1 2	3	4	5	6	7	8	9	10	11	12	13	14	15 16;
set Node := 2	3	4	5	6	7	8	9	10	11	12	13	14	15;
set Node_1 :=1 2	3	4	5	6	7	8	9	10	11	12	13	14	15;
set Node_16 := 2	3	4	5	6	7	8	9	10	11	12	13	14	15 16;
set Car:=  1   2;

param deadline := 120;
param time :
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	:=
1	0	20	25	35	65	90	85	80	86	25	35	20	44	35	82	0	
2	20	0	15	35	60	55	57	85	90	25	35	30	37	20	40	20	
3	25	15	0	30	50	70	55	50	65	10	25	15	24	20	90	25	
4	35	35	30	0	45	60	53	55	47	12	22	20	12	10	21	35	
5	65	60	50	45	0	46	15	45	75	25	11	19	15	25	25	65	
6	90	55	70	60	46	0	15	15	25	45	65	53	43	63	70	90	
7	85	57	55	53	15	15	0	17	25	41	25	33	27	45	30	85	
8	80	85	50	55	45	15	17	0	25	40	34	32	20	30	10	80	
9	86	90	65	47	75	25	25	25	0	65	70	72	61	45	13	86	
10	25	25	10	12	25	45	41	40	65	0	20	8	7	15	25	25	
11	35	35	25	22	11	65	25	34	70	20	0	5	12	45	65	35	
12	20	30	15	20	19	53	33	32	72	8	5	0	14	34	56	20	
13	44	37	24	12	15	43	27	20	61	7	12	14	0	30	40	44	
14	35	20	20	10	25	63	45	30	45	15	45	34	30	0	27	35	
15	82	40	90	21	25	70	30	10	13	25	65	56	40	27	0	82	
16	0	20	25	35	65	90	85	80	86	25	35	20	44	35	82	0	;


param n := 16; #21
param one :=1;
param two :=2;




